OncogeneID	OncogeneName	Cytoband	GeneType
2737	GLI3	7p13	protein-coding
2736	GLI2	2q14	protein-coding
27163	NAAA	4q21.1	protein-coding
27004	TCL6	14q32.1	ncRNA
27	ABL2	1q25.2	protein-coding
266747	RGL4	22q11.23	protein-coding
2627	GATA6	18q11.1-q11.2	protein-coding
2623	GATA1	Xp11.23	protein-coding
26173	INTS1	7p22.3	protein-coding
25896	INTS7	1q32.3	protein-coding
25849	PARM1	4q13.3-q21.3	protein-coding
257000	TINCR	19p13.3	ncRNA
253714	MMS22L	6q16.1	protein-coding
23532	PRAME	22q11.22	protein-coding
23523	CABIN1	22q11.23	protein-coding
23520	ANP32C	4q32.3	protein-coding
23519	ANP32D	12q13.11	protein-coding
23411	SIRT1	10q21.3	protein-coding
23373	CRTC1	19p13.11	protein-coding
23259	DDHD2	8p11.23	protein-coding
23216	TBC1D1	4p14	protein-coding
2315	MLANA	9p24.1	protein-coding
23075	SWAP70	11p15	protein-coding
23063	WAPL	10q23.2	protein-coding
2305	FOXM1	12p13	protein-coding
22992	KDM2A	11q13.2	protein-coding
22981	NINL	20p11.22-p11.1	protein-coding
22931	RAB18	10p12.1	protein-coding
22919	MAPRE1	20q11.1-q11.23	protein-coding
2290	FOXG1	14q13	protein-coding
22894	DIS3	13q22.1	protein-coding
22808	MRAS	3q22.3	protein-coding
2264	FGFR4	5q35.2	protein-coding
2255	FGF10	5p13-p12	protein-coding
2253	FGF8	10q24	protein-coding
2224	FDPS	1q22	protein-coding
220930	ZEB1-AS1	10p11.22	ncRNA
2185	PTK2B	8p21.1	protein-coding
216	ALDH1A1	9q21.13	protein-coding
2118	ETV4	17q21.31	protein-coding
2117	ETV3	1q21-q23	protein-coding
2059	EPS8	12p12.3	protein-coding
2020	EN2	7q36	protein-coding
2004	ELK3	12q23	protein-coding
2002	ELK1	Xp11.2	protein-coding
1994	ELAVL1	19p13.2	protein-coding
1936	EEF1D	8q24.3	protein-coding
1915	EEF1A1	6q14.1	protein-coding
1892	ECHS1	10q26.2-q26.3	protein-coding
1875	E2F5	8q21.2	protein-coding
1871	E2F3	6p22	protein-coding
1820	ARID3A	19p13.3	protein-coding
157	ADRBK2	22q12.1	protein-coding
1522	CTSZ	20q13.32	protein-coding
1501	CTNND2	5p15.2	protein-coding
1459	CSNK2A2	16q21	protein-coding
1441	CSF3R	1p35-p34.3	protein-coding
1440	CSF3	17q11.2-q12	protein-coding
1435	CSF1	1p13.3	protein-coding
1410	CRYAB	11q23.1	protein-coding
1385	CREB1	2q34	protein-coding
137964	GPAT4	8p11.21	protein-coding
132851	SPATA4	4q34.2	protein-coding
1316	KLF6	10p15	protein-coding
1269	CNR2	1p36.11	protein-coding
116986	AGAP2	12q14.1	protein-coding
116833	ANIB1	7q11.2	unknown
114757	CYGB	17q25.1	protein-coding
114614	MIR155HG	-	ncRNA
11315	PARK7	1p36.23	protein-coding
11266	DUSP12	1q21-q22	protein-coding
11181	TREH	11q23.3	protein-coding
11168	PSIP1	9p22.3	protein-coding
10987	COPS5	8q13.1	protein-coding
10971	YWHAQ	2p25.1	protein-coding
10892	MALT1	18q21	protein-coding
10879	SMR3B	4q13.3	protein-coding
10863	ADAM28	8p21.2	protein-coding
10848	PPP1R13L	19q13.32	protein-coding
10801	9-Sep	17q25	protein-coding
10795	ZNF268	12q24.33	protein-coding
10765	KDM5B	1q32.1	protein-coding
10712	FAM189B	1q21	protein-coding
10672	GNA13	17q24.3	protein-coding
106182249	LUADT1	-	ncRNA
10591	DNPH1	6p21.1	protein-coding
10542	LAMTOR5	1p13.3	protein-coding
10432	RBM14	11q13.2	protein-coding
10419	PRMT5	14q11.2	protein-coding
10365	KLF2	19p13.11	protein-coding
10320	IKZF1	7p12.2	protein-coding
102578074	PCAT5	10p11.21	ncRNA
10158	PDZK1IP1	1p33	protein-coding
10155	TRIM28	19q13.4	protein-coding
10142	AKAP9	7q21-q22	protein-coding
10103	TSPAN1	1p34.1	protein-coding
100750225	PCAT1	8q24.21	ncRNA
100533619	TMPOP2	-	pseudo
100316868	HOTTIP	7p15.2	ncRNA
100310785	ALL1	10q21	unknown
100302263	MIR1908	-	ncRNA
100126794	GAEC1	7q22.1	ncRNA
100126340	MIR944	3q28	ncRNA
100126313	MIR744	17p12	ncRNA
100124700	HOTAIR	12q13.13	ncRNA
7053	TGM3	20q11.2	protein-coding
26585	GREM1	15q13.3	protein-coding
332	BIRC5	17q25	protein-coding
